ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Has a mobile phone,Has a work phone,Has a phone,Has an email,Family member count,Is high risk,Employment_status_encoded,Education_level_encoded,Marital_status_encoded,Dwelling_encoded
5116870,1,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,2,0,3,1,2,1
5085890,0,0,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,3,1,2,1
5046276,0,0,0,1,99000.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,1,0,1,0,3,0,3,1,3,2
5051005,0,0,0,0,306000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,2,0,2,2,2,1
5105984,0,1,0,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5033577,0,0,1,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,0,3,1,2,1
5096828,0,0,1,0,315000.0,Commercial associate,Higher education,Separated,House / apartment,1,1,1,0,1,0,2,2,1,1
5025182,0,0,0,1,90000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,3,0,3,1,2,3
5112867,0,0,0,0,157500.0,Working,Higher education,Single / not married,House / apartment,1,1,1,0,1,0,3,2,4,1
5113292,0,1,1,2,121500.0,Working,Incomplete higher,Married,House / apartment,1,1,1,0,4,0,3,3,2,1
5089647,1,1,0,0,306000.0,Working,Higher education,Married,House / apartment,1,1,0,0,2,0,3,2,2,1
5092127,1,1,1,1,198000.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,1,0,3,0,2,2,3,1
5118037,0,0,0,2,121500.0,Working,Higher education,Married,House / apartment,1,0,0,0,4,0,3,2,2,1
5038866,1,1,1,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,3,0,3,1,2,1
5139957,1,1,1,0,135000.0,Working,Higher education,Married,House / apartment,1,1,1,0,2,0,3,2,2,1
5149273,1,1,1,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,3,1,2,1
5009183,1,1,0,0,229500.0,Working,Incomplete higher,Married,Co-op apartment,1,0,0,0,2,0,3,3,2,4
5126549,0,1,0,2,135000.0,State servant,Higher education,Married,House / apartment,1,1,0,0,4,0,1,2,2,1
5052981,0,0,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5132957,0,0,1,1,157500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,2,0,1,1,4,1
5126760,0,0,0,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5058308,1,1,1,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,3,1,4,1
5126593,0,1,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,0,3,1,2,1
5125816,0,1,0,0,450000.0,Pensioner,Higher education,Married,House / apartment,1,1,1,0,2,1,4,2,2,1
5069173,1,0,0,0,157500.0,Working,Secondary / secondary special,Single / not married,With parents,1,1,1,1,1,0,3,1,4,3
5025109,1,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5091303,1,0,1,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5008900,0,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,0,2,1,4,5
5090533,0,0,1,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5009983,0,1,1,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,1,1,2,1
5092108,0,0,1,1,135000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,2,0,3,1,4,2
5065428,1,1,1,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,2,1,2,1
5067741,0,1,1,1,135000.0,Working,Higher education,Married,House / apartment,1,0,1,0,3,0,3,2,2,1
5104881,0,1,1,0,387000.0,Working,Higher education,Married,House / apartment,1,1,0,0,2,0,3,2,2,1
5024698,0,0,1,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,1,0,3,1,1,1
5010012,0,0,1,1,112500.0,State servant,Incomplete higher,Civil marriage,House / apartment,1,0,1,0,3,0,1,3,3,1
5092429,0,1,1,0,72000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,2,0,3,1,2,3
5052825,0,1,1,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5061443,0,0,1,1,112500.0,Working,Higher education,Married,House / apartment,1,0,0,1,3,0,3,2,2,1
5088352,1,0,1,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5053554,1,1,1,1,193500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,3,0,3,1,2,1
5062236,0,1,0,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5067347,1,1,1,1,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,2,1,2,1
5126591,0,1,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,0,3,1,2,1
5047929,1,1,0,0,292500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,1,0,3,1,4,1
5106075,0,0,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5088844,0,0,1,0,171000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,1,0,3,2,4,1
5150037,1,0,0,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,1,0,3,1,4,3
5105316,0,0,1,0,202500.0,Commercial associate,Higher education,Single / not married,Co-op apartment,1,0,0,0,1,0,2,2,4,4
5143027,1,1,0,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5096165,0,0,0,1,135000.0,Working,Higher education,Single / not married,House / apartment,1,1,1,0,2,0,3,2,4,1
5106042,1,1,0,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,0,3,1,2,1
5092090,0,0,1,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,1,3,1,2,1
5068581,0,0,1,3,140400.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,5,0,3,1,2,1
5095479,0,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,0,3,1,2,1
5022418,0,1,1,1,157500.0,Working,Higher education,Married,With parents,1,0,0,1,3,0,3,2,2,3
5092269,1,0,1,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,0,3,1,3,1
5090346,0,1,1,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,0,3,1,2,1
5054694,1,0,0,2,360000.0,Working,Higher education,Married,Rented apartment,1,0,0,0,4,0,3,2,2,5
5069389,0,0,1,1,270000.0,Working,Higher education,Married,House / apartment,1,0,0,0,3,0,3,2,2,1
5142698,0,1,0,0,95850.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,2,0,2,1,2,1
5114126,1,0,0,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,3,0,3,1,2,1
5085889,0,1,1,0,189000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,2,0,2,2,2,1
5132413,0,1,1,0,292500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,2,0,2,2,2,1
5021515,0,0,1,0,144000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,1,1,2,1
5117331,0,1,1,0,270000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,1,0,1,0,2,1,1,1
5047771,0,0,1,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,3,1,4,1
5048276,0,1,0,1,112500.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,2,0,3,2,4,1
5062604,0,1,1,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5067360,1,1,1,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5116189,0,1,1,2,225000.0,Working,Secondary / secondary special,Widow,House / apartment,1,1,1,0,3,0,3,1,5,1
5105867,0,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5053521,0,0,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,3,1,2,1
5148833,0,1,1,1,135000.0,Working,Higher education,Married,House / apartment,1,0,0,1,3,0,3,2,2,1
5056237,0,0,1,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,2,0,3,1,2,1
5091753,1,1,0,2,135000.0,Working,Higher education,Married,House / apartment,1,0,0,0,4,0,3,2,2,1
5074667,0,1,1,0,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,0,2,0,2,3,2,1
5104960,1,1,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5095962,0,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,2,0,3,1,2,1
5008820,1,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5074639,1,0,1,0,270000.0,Working,Higher education,Married,House / apartment,1,0,1,0,2,0,3,2,2,1
5010493,0,1,0,2,270000.0,State servant,Higher education,Married,House / apartment,1,0,0,0,4,0,1,2,2,1
5089846,0,0,1,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,1,3,0,2,1,3,1
5045710,1,0,1,0,180000.0,Commercial associate,Higher education,Separated,House / apartment,1,0,0,0,1,0,2,2,1,1
5036319,0,0,1,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,2,1,4,1
5046030,0,1,1,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,3,0,3,1,3,1
5041674,0,1,1,1,333000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,0,2,2,2,1
5026226,1,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,2,1,2,1
5028489,1,1,1,0,405000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,2,0,3,1,2,1
5118173,1,0,0,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,3,0,2,1,2,1
5047708,0,0,1,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,0,3,1,2,1
5048601,0,0,1,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,1,0,3,1,1,1
5038745,1,1,1,2,157500.0,Commercial associate,Higher education,Married,With parents,1,0,0,0,4,0,2,2,2,3
5142338,0,1,0,2,180000.0,Working,Higher education,Married,House / apartment,1,0,0,0,4,0,3,2,2,1
5100070,0,0,1,0,180000.0,Working,Higher education,Married,House / apartment,1,1,1,0,2,0,3,2,2,1
5021484,0,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,2,0,3,1,2,1
5090936,0,1,0,0,148500.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,2,0,2,2,2,1
5033831,1,1,1,0,135000.0,Working,Higher education,Civil marriage,House / apartment,1,1,1,0,2,0,3,2,3,1
5137448,0,0,0,0,315000.0,Working,Higher education,Separated,House / apartment,1,0,0,0,1,0,3,2,1,1
5036077,0,0,1,2,153000.0,Working,Higher education,Married,House / apartment,1,1,1,0,4,0,3,2,2,1
5146474,0,1,1,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,2,0,2,2,3,1
5132846,0,0,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,2,0,1,1,2,1
5085660,0,0,0,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,0,3,1,4,5
5114333,0,0,0,1,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,3,0,3,1,3,1
5054277,0,0,0,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,1,1,2,1
5009985,0,1,1,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,1,1,2,1
5099753,0,0,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,3,0,3,1,2,1
5078984,1,1,1,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5022041,1,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,2,0,3,1,2,1
5105820,1,1,0,2,202500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,4,0,2,2,2,1
5117053,0,0,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5117461,0,1,0,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,3,0,3,1,2,1
5089278,0,1,0,0,315000.0,Working,Higher education,Married,House / apartment,1,0,1,1,2,0,3,2,2,1
5062299,0,0,1,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5132442,0,0,1,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5116820,0,0,0,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,3,1,4,1
5047680,1,1,1,0,135000.0,Working,Higher education,Married,House / apartment,1,1,1,0,2,0,3,2,2,1
5149196,0,0,1,0,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,0,2,0,2,3,2,1
5068606,0,0,1,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,4,0,3,1,2,1
5069310,0,0,1,0,112500.0,Working,Lower secondary,Civil marriage,Municipal apartment,1,0,0,0,2,0,3,4,3,2
5149956,0,0,1,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,3,1,4,1
5068548,1,1,1,0,117000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5025171,1,1,1,1,171000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5115865,0,1,1,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5111115,1,1,1,0,157500.0,Working,Higher education,Married,With parents,1,0,0,0,2,0,3,2,2,3
5117074,1,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5041570,1,1,1,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,3,0,3,1,2,1
5090842,0,1,1,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,0,3,1,2,1
5105588,0,1,1,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,2,1,2,1
5010773,0,0,1,0,135000.0,Working,Higher education,Married,With parents,1,0,0,0,2,0,3,2,2,3
5126832,0,0,1,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,3,0,3,1,3,1
5054164,0,0,0,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,3,0,3,1,2,1
5105627,1,1,0,2,382500.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,4,0,2,2,2,1
5067208,1,0,0,1,405000.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,3,0,3,1,2,3
5067414,1,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,2,0,2,1,2,1
5033865,1,1,1,2,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,4,0,2,1,2,1
5125928,1,0,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,3,1,2,1
5061690,0,0,1,1,67500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,3,0,2,2,2,1
5041750,0,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,1,0,2,1,4,1
5136974,0,0,0,0,306000.0,State servant,Higher education,Married,House / apartment,1,0,0,0,2,0,1,2,2,1
5105215,0,0,0,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5041776,0,1,0,3,135000.0,Working,Higher education,Married,House / apartment,1,1,1,0,5,0,3,2,2,1
5022872,0,1,1,2,225000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,4,0,2,2,2,1
5149208,0,1,0,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5038870,0,1,1,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5105718,0,0,1,0,90000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,2,0,2,1,3,1
5090154,0,1,1,0,225000.0,Working,Higher education,Civil marriage,House / apartment,1,0,0,0,2,0,3,2,3,1
5146448,1,0,1,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,1,0,2,2,4,1
5132693,1,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5024854,0,1,1,3,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,5,0,3,1,2,1
5062302,0,0,1,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5045633,0,0,1,1,270000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,1,1,2,1
5062623,1,1,1,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,1,1,2,1
5024417,1,1,1,0,180000.0,Working,Incomplete higher,Married,With parents,1,0,0,0,2,0,3,3,2,3
5104957,1,1,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5029031,0,0,1,2,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,4,0,3,1,2,1
5065712,0,1,1,0,157500.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,1,0,3,2,4,1
5065537,1,0,1,2,207000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,4,0,2,1,2,1
5091064,0,0,1,0,382500.0,Commercial associate,Incomplete higher,Married,Municipal apartment,1,0,0,0,2,0,2,3,2,2
5148730,0,0,1,1,157500.0,Working,Secondary / secondary special,Separated,Municipal apartment,1,0,0,0,2,0,3,1,1,2
5067164,0,0,0,0,122400.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,2,0,3,1,2,1
5053373,0,0,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5115953,0,1,1,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,1,0,3,1,5,1
5028427,0,0,0,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,2,0,3,1,3,1
5050507,0,0,0,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,4,0,2,1,2,1
5092196,0,0,1,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5090734,0,0,0,0,67500.0,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,2,0,2,1,2,3
5066464,0,1,1,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,1,0,3,1,1,1
5069491,0,1,1,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5008888,0,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,1,0,0,0,1,0,2,2,1,5
5053008,0,0,0,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,3,1,4,1
5088871,0,0,1,0,166500.0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,1,1,0,3,1,4,3
5054281,0,1,0,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5008892,0,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,1,0,2,1,4,5
5061622,1,1,1,0,427500.0,State servant,Incomplete higher,Single / not married,Rented apartment,1,0,1,0,1,0,1,3,4,5
5132728,0,0,1,3,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,5,0,2,1,2,1
5065561,0,0,1,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,2,0,2,2,2,1
5069475,0,0,1,2,225000.0,Working,Higher education,Married,House / apartment,1,0,1,0,4,1,3,2,2,1
5087514,0,1,1,1,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,0,2,2,2,1
5048324,1,0,1,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,1,0,3,1,4,1
5088290,1,1,1,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,3,0,2,1,2,1
5146395,0,0,1,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,1,0,3,1,1,1
5142175,1,1,1,0,247500.0,Working,Secondary / secondary special,Married,Co-op apartment,1,1,0,0,2,0,3,1,2,4
5054512,1,1,1,0,78750.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,1,0,3,1,4,1
5150406,1,1,1,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,4,0,3,1,2,1
5125813,1,1,1,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,1,0,3,1,4,1
5066971,1,1,0,0,119250.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,1,2,0,3,1,3,1
5135882,0,0,1,2,99000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,4,0,3,1,2,1
5140027,0,0,1,0,184500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
5053403,1,0,1,0,292500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,1,0,2,1,4,1
5068715,1,1,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5029134,0,0,1,1,337500.0,State servant,Higher education,Separated,House / apartment,1,0,0,0,2,0,1,2,1,1
5096500,0,1,0,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,3,0,3,1,2,1
5054314,0,0,0,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,2,1,2,1,2,1
5068432,0,0,1,0,360000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,1,1,2,1
5142354,1,0,1,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,3,0,3,1,2,1
5096159,1,0,0,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,4,0,2,1,2,1
5067057,0,1,1,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2,0,3,1,2,1
5053227,1,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5090236,1,1,1,2,292500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,4,0,2,2,2,1
5149911,0,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,3,1,2,1
5105161,1,0,1,2,450000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,4,0,2,2,2,1
5058429,0,1,0,1,315000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3,0,2,2,2,1
5146006,1,1,1,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,1,0,3,1,4,1
5116106,1,0,1,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2,0,2,1,2,1
